Date,AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
2013-03-04,-1.8544240752167656,-1.8617118140676825,-1.2985112561459058,-1.9289352293423507,-1.6211170957122696,-1.7704440599251667,-1.6420004098510448,-0.35655635264934044,-2.4186925574754414,-1.6332245006112125,-1.6653102683100747,-1.6083711359073147,-2.002214226973843,-1.4136421804110844,-1.6010053377302487,-1.726587404747727,-2.139873346339154,-1.7243346486053552,-1.2445777205633086,-1.631107560194245,-1.5540456529892135,-3.5510146687517175,-1.8451411935605833,-1.7372967093544498,-0.849398590562858
2013-03-05,-1.785479627020839,-1.9206842556404804,-1.284015592631805,-1.8954148035207503,-1.5826936565641274,-1.7374028902149068,-1.6523643857266064,-0.32840645277121,-2.365036758042963,-1.5700090173869687,-1.6022849244679782,-1.6014109297169623,-1.9742052942493027,-1.38875626089363,-1.6328827417996143,-1.6989771770466993,-2.152653770615377,-1.707783690343972,-1.2344882674528734,-1.5503126903939535,-1.5084879644522093,-3.4922905823012447,-1.8383210863955486,-1.7242473715038722,-0.7322996887500409
2013-03-06,-1.8193237304961918,-1.9019806392114573,-1.294523634554216,-1.8795651231235249,-1.4833483853890814,-1.710581176519863,-1.674298745556331,-0.294001681627617,-2.3744581904605884,-1.5965411652254962,-1.6287374374870258,-1.6010235213750856,-1.9906254560213543,-1.354622024009373,-1.5556579054125497,-1.6966613030579025,-2.157148878983062,-1.7293228707787764,-1.235205395258526,-1.5397643676558421,-1.490078105616381,-3.4368325779426594,-1.8341636455333714,-1.711588364868367,-0.7411421600087306
2013-03-07,-1.7889182477258683,-1.9223160237540762,-1.2939965491935925,-1.868820510852965,-1.394739533273203,-1.7027478452916918,-1.6963572372634355,-0.2882816005928604,-2.377603676176411,-1.5920417466013714,-1.6242514870565175,-1.6099208809317487,-1.9687454891781533,-1.317123753486771,-1.533072159213226,-1.7010531062234768,-2.0859479079955014,-1.7251656603584302,-1.237359484402664,-1.508228002919172,-1.5269268856393543,-3.4086379908306483,-1.8270036215017353,-1.7206240491580698,-0.8921976977679835
2013-03-08,-1.7819227012359724,-1.9345812984831579,-1.2921825066467345,-1.8565211803265182,-1.4439494881936092,-1.6926303268728657,-1.656445055221947,-0.28764590328819756,-2.2942342279105286,-1.5960245449471961,-1.6282222852682189,-1.5668678821183146,-1.9421400457175484,-1.3439515269671505,-1.5105458257043216,-1.6887183597152537,-2.124657930212027,-1.736826553583858,-1.233055691367738,-1.5250249705617238,-1.492532579620078,-3.3962346446396605,-1.8266272769919603,-1.7179920971489417,-0.845843091876317
2013-03-11,-1.744500148634228,-1.9076602058051813,-1.3095288195571066,-1.8569295069984735,-1.4231359007511128,-1.672458867611895,-1.678772119129084,-0.2774906841640523,-2.2734429288268028,-1.5838712231541954,-1.616105503037598,-1.5687760558994293,-1.9270896949275016,-1.3264556458548602,-1.490318089284798,-1.6807515740464232,-2.1133318035615156,-1.7477063453057908,-1.2416835628337848,-1.5124229330026189,-1.4717113856552564,-3.364040450203191,-1.8116388754316781,-1.7096225631613355,-0.8120448919353632
2013-03-12,-1.8021621835637314,-1.9485424466169137,-1.2925334803302226,-1.8491920425753736,-1.4596508510909545,-1.7211992093305326,-1.6301888493014467,-0.30799823962423756,-2.315899436693272,-1.6104871186213652,-1.6426414059641061,-1.5756920365841416,-1.919883777343448,-1.3389426327208527,-1.5692368011485294,-1.7180632353001861,-2.132883282588665,-1.7443528643227004,-1.2387985066380371,-1.5778286598715587,-1.493758819790316,-3.3630271835463246,-1.7886239460790367,-1.7323333144026198,-0.8120448919353632
2013-03-13,-1.8026563017487856,-1.9485424466169137,-1.286869283682644,-1.8274246597499693,-1.4465605171772549,-1.6917113947428428,-1.6423712526294185,-0.300995986156679,-2.298095668712321,-1.6190264334302122,-1.6511550812755111,-1.5753071827197147,-1.9204816525032864,-1.346458812990566,-1.5897931176742306,-1.6971438220553872,-2.181100968296863,-1.7435153888012893,-1.2387985066380371,-1.560880415305284,-1.5392430062420162,-3.3701325895061918,-1.7937439407357634,-1.739450071812272,-0.7942927453587109
2013-03-14,-1.7771469000914195,-1.9166080666885685,-1.3423792084220252,-1.80086731156751,-1.4335240569077357,-1.6761201180034386,-1.6612706007231726,-0.19736553717086383,-2.26653380321667,-1.6330751923706077,-1.6651612623203695,-1.5953833172666596,-1.8875878989373016,-1.2942194665875857,-1.4920123515946109,-1.6985911490332057,-2.1837098899567646,-1.7251656603584302,-1.2380787871873253,-1.541873246278046,-1.4668175542012576,-3.4815039129669967,-1.7844780513534027,-1.718156534074633,-0.6934566160387852
2013-03-15,-1.7097438425885674,-1.8409819759232149,-1.3662102089147314,-1.8270251112943408,-1.316066121772339,-1.731378041432813,-1.7046147559023022,-0.21747287839259644,-2.279593182566614,-1.660236057969134,-1.6922405368492104,-1.6418926199830668,-1.8822247858516974,-1.3552505540280246,-1.5350825276635638,-1.7365597038183762,-2.2093517669841805,-1.733488440283177,-1.2460276720257595,-1.560880415305284,-1.596097149339887,-3.5672345861785,-1.7844780513534027,-1.7530747675698286,-0.7747821263270914
